run_index,sort_order,timestamp,elapsed_time[s],peak_mem_MB,CSLOW_MODE,Allow_BRAM,ENC_MODE,Nr,NUM_COPIES,PAR_MODE,repl_index,Slices,Slice-FF,4-LUT,Bonded I/O,DSP48,BRAMs,Syn_minorClk_T,Syn_majorClk_T,Par_minorClk_T,Par_majorClk_T,Syn_minorClk_Freq,Syn_majorClk_Freq,Par_minorClk_Freq,Par_majorClk_Freq,Syn_selClk_T,Par_selClk_T,Syn_selClk_Freq,Par_selClk_Freq,Stream_Freq,Total_Throughput
0,0,Wed Feb  5 17:25:39 2014,669.9275498390198,1042.0,MANPIPE,NO,ENCRYPT,4,1,VIRT,0,7272,2490,11643,74,0,0,1.4257e-08,7.145e-09,2.3505e-08,5.363000000000001e-09,70140983.37658694,139958012.59622115,42544139.544777706,186462800.67126605,1.4257e-08,2.3505e-08,70140983.37658694,42544139.544777706,42544139.544777706,42544139.544777706
1,10,Wed Feb  5 17:25:40 2014,674.9288818836212,1035.0,MANPIPE,NO,ENCRYPT,4,1,REPL,0,6778,1714,11498,73,0,0,,1.5461000000000002e-08,,2.2251000000000002e-08,,64678869.413362645,,44941800.368522756,1.5461000000000002e-08,2.2251000000000002e-08,64678869.413362645,44941800.368522756,44941800.368522756,44941800.368522756
6,60,Wed Feb  5 17:25:40 2014,721.9024360179901,1082.0,MANPIPE,NO,ENCRYPT,4,4,VIRT,0,8454,6824,11737,74,0,0,5.779e-09,5.114e-09,7.674000000000001e-09,6.877e-09,173040318.39418584,195541650.37152913,130310138.12874639,145412243.71092045,5.779e-09,7.674000000000001e-09,173040318.39418584,130310138.12874639,32577534.532186598,130310138.12874639
2,20,Wed Feb  5 17:25:39 2014,792.0347549915314,1063.0,MANPIPE,NO,ENCRYPT,4,2,VIRT,0,7705,3825,11606,74,0,0,8.803000000000001e-09,7.0050000000000005e-09,1.3398e-08,7.1e-09,113597637.16914687,142755174.8750892,74638005.67248844,140845070.4225352,8.803000000000001e-09,1.3398e-08,113597637.16914687,74638005.67248844,37319002.83624422,74638005.67248844
4,40,Wed Feb  5 17:25:39 2014,816.9200270175934,1091.0,MANPIPE,NO,ENCRYPT,4,3,VIRT,0,8235,5944,12259,74,0,0,6.248000000000001e-09,5.254e-09,1.0144000000000001e-08,6.464000000000001e-09,160051216.38924453,190331176.2466692,98580441.64037853,154702970.29702967,6.248000000000001e-09,1.0144000000000001e-08,160051216.38924453,98580441.64037853,32860147.21345951,98580441.64037853
10,100,Wed Feb  5 17:25:54 2014,834.8913171291351,1144.0,MANPIPE,NO,ENCRYPT,4,6,VIRT,0,11017,10025,16075,74,0,0,4.386e-09,5.017e-09,6.456000000000001e-09,6.977000000000001e-09,227998176.01459187,199322304.16583616,154894671.62329614,143328077.9704744,4.386e-09,6.456000000000001e-09,227998176.01459187,154894671.62329614,25815778.60388269,154894671.62329614
8,80,Wed Feb  5 17:25:40 2014,919.9935438632965,1143.0,MANPIPE,NO,ENCRYPT,4,5,VIRT,0,11869,10263,15243,74,0,0,4.633e-09,5.04e-09,7.736e-09,6.419e-09,215842866.3932657,198412698.41269842,129265770.42399171,155787505.84203145,4.633e-09,7.736e-09,215842866.3932657,129265770.42399171,25853154.084798343,129265770.42399171
3,30,Wed Feb  5 17:25:40 2014,1117.946969985962,1243.0,MANPIPE,NO,ENCRYPT,4,2,REPL,0,13053,2715,22668,73,0,0,,1.5492e-08,,2.3992000000000004e-08,,64549444.874774076,,41680560.1867289,1.5492e-08,2.3992000000000004e-08,64549444.874774076,41680560.1867289,41680560.1867289,83361120.3734578
5,50,Wed Feb  5 17:25:39 2014,1556.8032400608063,1459.0,MANPIPE,NO,ENCRYPT,4,3,REPL,0,19449,3757,34475,73,0,0,,1.5492e-08,,2.3611000000000002e-08,,64549444.874774076,,42353140.485366985,1.5492e-08,2.3611000000000002e-08,64549444.874774076,42353140.485366985,42353140.485366985,127059421.45610096
12,120,Wed Feb  5 17:39:17 2014,912.1173031330109,1174.0,MANPIPE,NO,ENCRYPT,4,7,VIRT,0,13326,11422,15534,74,0,0,5.962e-09,5.311e-09,6.678e-09,7.998000000000002e-09,167728950.0167729,188288457.91752964,149745432.76430067,125031257.81445359,5.962e-09,6.678e-09,167728950.0167729,149745432.76430067,21392204.680614382,149745432.76430067
