run_index,sort_order,timestamp,elapsed_time[s],peak_mem_MB,CSLOW_MODE,Allow_BRAM,UseDSP48s,NUM_TERMS,NUM_COPIES,PAR_MODE,repl_index,Slices,Slice-FF,4-LUT,Bonded I/O,DSP48,BRAMs,Syn_minorClk_T,Syn_majorClk_T,Par_minorClk_T,Par_majorClk_T,Syn_minorClk_Freq,Syn_majorClk_Freq,Par_minorClk_Freq,Par_majorClk_Freq,Syn_selClk_T,Par_selClk_T,Syn_selClk_Freq,Par_selClk_Freq,Stream_Freq,Total_Throughput
2,20,Wed Feb  5 17:25:40 2014,109.77891111373901,820.0,MANPIPE,NO,Auto,2,1,VIRT,0,166,161,133,58,1,0,7.719000000000001e-09,3.2280000000000004e-09,1.3857e-08,2.689e-09,129550459.90413263,309789343.2465923,72165692.42981887,371885459.2785422,7.719000000000001e-09,1.3857e-08,129550459.90413263,72165692.42981887,72165692.42981887,72165692.42981887
3,30,Wed Feb  5 17:25:46 2014,112.43575501441956,817.0,MANPIPE,NO,Auto,2,1,REPL,0,126,128,86,57,1,0,,7.756e-09,,1.4115000000000001e-08,,128932439.40175349,,70846617.0740347,7.756e-09,1.4115000000000001e-08,128932439.40175349,70846617.0740347,70846617.0740347,70846617.0740347
4,40,Wed Feb  5 17:25:39 2014,123.03037595748901,821.0,MANPIPE,NO,Auto,2,2,VIRT,0,196,255,145,74,1,0,6.453000000000001e-09,3.996e-09,1.1257000000000001e-08,2.7440000000000005e-09,154966682.16333488,250250250.25025025,88833614.63977969,364431486.8804664,6.453000000000001e-09,1.1257000000000001e-08,154966682.16333488,88833614.63977969,44416807.31988984,88833614.63977969
5,50,Wed Feb  5 17:25:49 2014,116.35339879989624,828.0,MANPIPE,NO,Auto,2,2,REPL,0,231,244,161,73,2,0,,7.756e-09,,1.4168e-08,,128932439.40175349,,70581592.32072276,7.756e-09,1.4168e-08,128932439.40175349,70581592.32072276,70581592.32072276,141163184.64144552
6,60,Wed Feb  5 17:25:40 2014,118.96542382240295,825.0,MANPIPE,NO,Auto,2,3,VIRT,0,577,539,452,74,1,0,3.4100000000000004e-09,3.0019999999999998e-09,5.92e-09,3.429e-09,293255131.96480936,333111259.16055965,168918918.9189189,291630212.8900554,3.4100000000000004e-09,5.92e-09,293255131.96480936,168918918.9189189,56306306.3063063,168918918.9189189
7,70,Wed Feb  5 17:25:40 2014,122.01422619819641,826.0,MANPIPE,NO,Auto,2,3,REPL,0,483,452,498,73,3,0,,7.768e-09,,1.3506e-08,,128733264.67559217,,74041166.88879016,7.768e-09,1.3506e-08,128733264.67559217,74041166.88879016,74041166.88879016,222123500.66637048
9,90,Wed Feb  5 17:25:40 2014,124.60859990119934,819.0,MANPIPE,NO,Auto,3,1,REPL,0,144,141,103,57,4,0,,1.913e-08,,2.1896000000000003e-08,,52273915.316257186,,45670442.08987942,1.913e-08,2.1896000000000003e-08,52273915.316257186,45670442.08987942,45670442.08987942,45670442.08987942
8,80,Wed Feb  5 17:25:52 2014,116.0984399318695,822.0,MANPIPE,NO,Auto,3,1,VIRT,0,169,177,163,58,4,0,1.9093e-08,3.2280000000000004e-09,2.1593e-08,2.4830000000000002e-09,52375216.047766194,309789343.2465923,46311304.589450285,402738622.63391054,1.9093e-08,2.1593e-08,52375216.047766194,46311304.589450285,46311304.589450285,46311304.589450285
10,100,Wed Feb  5 17:25:54 2014,126.88531589508057,829.0,MANPIPE,NO,Auto,3,2,VIRT,0,252,272,164,74,4,0,1.0483000000000002e-08,4.0170000000000005e-09,1.3955000000000002e-08,3.076e-09,95392540.30334826,248941996.51481202,71658903.61877462,325097529.2587776,1.0483000000000002e-08,1.3955000000000002e-08,95392540.30334826,71658903.61877462,35829451.80938731,71658903.61877462
11,110,Wed Feb  5 17:27:09 2014,122.95616912841797,825.0,MANPIPE,NO,Auto,3,2,REPL,0,254,269,196,73,8,0,,1.913e-08,,2.6430000000000002e-08,,52273915.316257186,,37835792.65985622,1.913e-08,2.6430000000000002e-08,52273915.316257186,37835792.65985622,37835792.65985622,75671585.31971245
12,120,Wed Feb  5 17:27:54 2014,120.40136504173279,825.0,MANPIPE,NO,Auto,3,3,VIRT,0,469,467,304,74,4,0,8.814e-09,4.202e-09,9.222e-09,3.736e-09,113455865.66825505,237981913.3745835,108436347.86380395,267665952.89079228,8.814e-09,9.222e-09,113455865.66825505,108436347.86380395,36145449.28793465,108436347.86380395
13,130,Wed Feb  5 17:27:54 2014,129.11636400222778,839.0,MANPIPE,NO,Auto,3,3,REPL,0,557,497,590,73,12,0,,1.9143e-08,,2.7749e-08,,52238416.1312229,,36037334.678727165,1.9143e-08,2.7749e-08,52238416.1312229,36037334.678727165,36037334.678727165,108112004.0361815
14,140,Wed Feb  5 17:28:09 2014,120.45050978660583,829.0,MANPIPE,NO,Auto,3,4,VIRT,0,429,433,304,74,4,0,7.09e-09,4.0010000000000006e-09,9.277e-09,4.221e-09,141043723.55430183,249937515.6210947,107793467.71585643,236910684.6718787,7.09e-09,9.277e-09,141043723.55430183,107793467.71585643,26948366.92896411,107793467.71585643
15,150,Wed Feb  5 17:29:09 2014,138.2056839466095,839.0,MANPIPE,NO,Auto,3,4,REPL,0,675,628,786,73,16,0,,1.9143e-08,,2.7404000000000002e-08,,52238416.1312229,,36491023.208290756,1.9143e-08,2.7404000000000002e-08,52238416.1312229,36491023.208290756,36491023.208290756,145964092.83316302
16,160,Wed Feb  5 17:30:13 2014,127.15877795219421,831.0,MANPIPE,NO,Auto,3,5,VIRT,0,562,566,375,74,4,0,5.026e-09,4.042e-09,7.389000000000001e-09,4.190000000000001e-09,198965380.02387586,247402276.10094014,135336310.73216942,238663484.48687348,5.026e-09,7.389000000000001e-09,198965380.02387586,135336310.73216942,27067262.146433882,135336310.73216942
17,170,Wed Feb  5 17:31:43 2014,149.39331889152527,849.0,MANPIPE,NO,Auto,3,5,REPL,0,890,780,972,73,20,0,,1.9143e-08,,2.4978000000000004e-08,,52238416.1312229,,40035231.00328288,1.9143e-08,2.4978000000000004e-08,52238416.1312229,40035231.00328288,40035231.00328288,200176155.0164144
18,180,Wed Feb  5 17:34:28 2014,121.45270705223083,829.0,MANPIPE,NO,Auto,4,1,VIRT,0,189,177,178,58,7,0,2.674e-08,3.2280000000000004e-09,3.0492000000000006e-08,2.6330000000000003e-09,37397157.81600598,309789343.2465923,32795487.34094188,379794910.74819595,2.674e-08,3.0492000000000006e-08,37397157.81600598,32795487.34094188,32795487.34094188,32795487.34094188
19,190,Wed Feb  5 17:36:44 2014,117.63070702552795,822.0,MANPIPE,NO,Auto,4,1,REPL,0,156,141,120,57,7,0,,2.6777000000000002e-08,,3.0624000000000003e-08,,37345483.063823424,,32654127.481713686,2.6777000000000002e-08,3.0624000000000003e-08,37345483.063823424,32654127.481713686,32654127.481713686,32654127.481713686
20,200,Wed Feb  5 17:36:44 2014,118.7044780254364,830.0,MANPIPE,NO,Auto,4,2,VIRT,0,286,272,204,74,7,0,1.4405e-08,3.969e-09,1.8811000000000002e-08,3.4340000000000003e-09,69420340.15966678,251952632.90501386,53160384.88118654,291205591.14735,1.4405e-08,1.8811000000000002e-08,69420340.15966678,53160384.88118654,26580192.44059327,53160384.88118654
21,210,Wed Feb  5 17:36:58 2014,131.58456802368164,827.0,MANPIPE,NO,Auto,4,2,REPL,0,314,269,229,73,14,0,,2.6777000000000002e-08,,3.4844000000000004e-08,,37345483.063823424,,28699345.654919066,2.6777000000000002e-08,3.4844000000000004e-08,37345483.063823424,28699345.654919066,28699345.654919066,57398691.30983813
22,220,Wed Feb  5 17:37:43 2014,135.34379696846008,828.0,MANPIPE,NO,Auto,4,3,VIRT,0,468,468,318,74,7,0,1.0948000000000001e-08,4.202e-09,1.3074e-08,3.8470000000000005e-09,91340884.17975885,237981913.3745835,76487685.4826373,259942812.5812321,1.0948000000000001e-08,1.3074e-08,91340884.17975885,76487685.4826373,25495895.1608791,76487685.4826373
