run_index,sort_order,timestamp,elapsed_time[s],peak_mem_MB,HASH_TYPE,HASH_ROUNDS,NUM_PIPE_STAGES,HASH_IMPL,VIRT_IN_DEPTH,VIRT_OUT_DEPTH,Clk_Period_Constraint,repl_index,Slices,Slice Registers,Slice LUTs,LUT as Logic,LUT as Memory,Bonded IOBs,DSPs,BRAMs,pr_Clk_T,pr_Clk_Freq,Stream_Freq,Total_Throughput
40,40,Fri Apr  4 14:00:05 2014,5794.416605949402,4345.984,SHA256,64,57,seq,32,512,1.0,0,14367,27347,43439,41120,2319,73,0,0,7.945000000000001e-09,125865324.10320956,2208163.580758062,2208163.580758062
24,24,Fri Apr  4 14:00:04 2014,6167.429899930954,4257.305,SHA256,64,25,seq,32,512,1.0,0,13165,16697,42677,41452,1225,73,0,0,1.2265000000000003e-08,81532816.95882592,3261312.6783530368,3261312.6783530368
32,32,Fri Apr  4 14:00:04 2014,6401.201588153839,4217.945,SHA256,64,41,seq,32,512,1.0,0,13684,22019,44129,41843,2286,73,0,0,8.251e-09,121197430.61447096,2956034.893035877,2956034.893035877
36,36,Fri Apr  4 14:00:04 2014,6610.711011886597,4282.301,SHA256,64,49,seq,32,512,1.0,0,14117,24734,43636,41317,2319,73,0,0,8.033000000000002e-09,124486493.2154861,2540540.6778670633,2540540.6778670633
28,28,Fri Apr  4 14:00:05 2014,6657.1196348667145,4216.289,SHA256,64,33,seq,32,512,1.0,0,13728,19398,43259,41603,1656,73,0,0,8.589000000000002e-09,116427989.28862496,3528120.8875340894,3528120.8875340894
20,20,Fri Apr  4 14:00:04 2014,6719.597235918045,4238.547,SHA256,64,17,seq,32,512,1.0,0,12537,13047,41579,41229,350,73,0,0,1.6852e-08,59340137.66911939,3490596.333477611,3490596.333477611
30,30,Fri Apr  4 14:00:06 2014,6996.87332701683,4607.465,SHA256,64,33,virt,32,512,1.0,0,21630,41051,54574,52900,1674,73,0,4,9.187e-09,108849461.19516708,3298468.521065669,108849461.19516708
21,21,Fri Apr  4 14:00:05 2014,7093.323301076889,4417.828,SHA256,64,17,virt,16,512,1.0,0,19370,26091,50000,49636,364,73,0,4,1.7022e-08,58747503.23111268,3455735.484183099,58747503.23111268
37,37,Fri Apr  4 14:00:05 2014,7123.4417719841,4471.332,SHA256,64,49,virt,16,512,1.0,0,17481,37946,51921,49605,2316,73,0,4,7.765e-09,128783000.643915,2628224.5029370408,128783000.643915
33,33,Fri Apr  4 14:00:05 2014,7292.775427103043,4406.766,SHA256,64,41,virt,16,512,1.0,0,18013,35300,52535,50200,2335,73,0,4,8.076e-09,123823675.08667657,3020089.6362604043,123823675.08667657
41,41,Fri Apr  4 14:00:04 2014,7523.375512123108,5008.223,SHA256,64,57,virt,16,512,1.0,0,18819,40636,52259,49925,2334,73,0,4,7.686e-09,130106687.48373666,2282573.464626959,130106687.48373666
